PRD_NAME,PRD_BRAND,INGREDIENT,PRICE,CATEGORY,BAUMANN_ID
토리든 솔리드인 세라마이드 크림,토리든,"""5D 복합 세라마이드, 판테놀, 피토스테롤, 알란토인 등""",28000 ,크림,24
파넬 아하 오미자 도자기 워시오프 세럼,파넬,"""정제수, 락틱애씨드, 트로메타민, 글리세린, 오미자수, 하이알루로닉애씨드, 나이아신아마이드, 판테놀, 바쿠치올 등""",29000 ,앰플,46
파티온 노스카나인 클렌징워터,파티온,"""정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 펜틸렌글라이콜, 돌콩추출물, 쑥잎추출물, 소듐헤파린, 판테놀 등""",18000 ,클렌징,60
풀리 쌀 세라 에센스 토너,폴리,"""쌀겨수(84%), 글리세린, 부틸렌글라이콜, 쌀추출물, 쌀지게미추출물, 소듐하이알루로네이트, 쌀겨오일, 세라마이드엔피 등""",27000 ,토너,21
피지오겔 DMT 데일리 보습 페이셜 로션,피지오겔,"""정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 하이드로제네이티드레시틴, 세라마이드엔피 등""",18900 ,로션,24
피지오겔 DMT 페이셜 보습장벽 크림,피지오겔,"""정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 하이드로제네이티드레시틴, 시어버터, 세라마이드엔피 등""",20400 ,크림,24
피지오겔 레드수딩 AI 진정보습 로션,피지오겔,"""정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 하이드로제네이티드레시틴, 팔미타마이드엠이에이, 세라마이드엔피 등""",37500 ,로션,58
한율 어린쑥 수분진정 토너,한율,"""정제수, 부틸렌글라이콜, 베타인, 글리세린, 황해쑥잎수(18,944ppm), 판테놀(5,000ppm), 황해쑥잎추출물, 병풀꽃/잎/줄기추출물 등""",27000 ,토너,58
한율 어린쑥 수분진정 플루이드,한율,"""정제수, 프로판다이올, 글리세린, 황해쑥잎수(18,944ppm), 판테놀(5,000ppm), 황해쑥잎추출물, 병풀꽃/잎/줄기추출물 등""",25600 ,로션,58
후시다인 더마 트러블 버블 클렌저,후시다인,"""정제수, 글리세린, 코코-베타인, 부틸렌글라이콜, 푸시디움 코키네움발효용해추출여과물(5,022ppm), 알바수련꽃추출물, 프로테아제, 살리실릭애씨드 등""",16500 ,클렌징,37
